suite,task,seed,method,lr,tau,regret,ndcg,runtime_s
ranking,RankingControl,1,mse,0.1,0.2,0.012561867216647017,0.9868993415834153,0.12026653700013412
ranking,RankingControl,1,spo+,0.1,0.2,0.00837189807870696,0.9912127750779003,0.10955826700001126
ranking,RankingControl,1,plfo,0.1,0.5,0.005418124197736823,0.9942874972893446,0.09825397500003419
ranking,RankingControl,1,riplm,1.0,0.03,0.01640217306258898,0.9829366493270755,0.10354992099996707
ranking,RankingControl,2,mse,0.1,0.2,0.009081909923436438,0.9905443627946707,0.12869056399995316
ranking,RankingControl,2,spo+,0.1,0.2,0.006359475912555965,0.9933695672537018,0.10152569999991101
ranking,RankingControl,2,plfo,0.1,0.5,0.004197848090512133,0.9955837607618853,0.09325351199981924
ranking,RankingControl,2,riplm,1.0,0.03,0.012067954647171392,0.9874493972841712,0.10257894500000475
ranking,RankingControl,3,mse,0.1,0.2,0.008346552038842117,0.9913311754823094,0.11578357200005485
ranking,RankingControl,3,spo+,0.1,0.2,0.006640330625658893,0.993084140300915,0.11313825399997768
ranking,RankingControl,3,plfo,0.1,0.5,0.004420786633249737,0.9953642588023596,0.09760866000010537
ranking,RankingControl,3,riplm,1.0,0.03,0.01087831452947157,0.9886951959773294,0.10805825800002822
ranking,RankingControl,4,mse,0.1,0.2,0.008232359151356321,0.9914746324906726,0.10381090500004575
ranking,RankingControl,4,spo+,0.1,0.2,0.006028021414784746,0.9937460589747145,0.11696732599989446
ranking,RankingControl,4,plfo,0.1,0.5,0.004112283216979304,0.995713473756793,0.10038589600003434
ranking,RankingControl,4,riplm,1.0,0.03,0.011319488426314854,0.9882969183399553,0.10333659599996281
ranking,RankingControl,5,mse,0.1,0.2,0.008090814649730268,0.9916306413251618,0.12870969800019338
ranking,RankingControl,5,spo+,0.1,0.2,0.0067903511252075666,0.9929519882743854,0.1080707880000773
ranking,RankingControl,5,plfo,0.1,0.5,0.004379905643132738,0.9954472918855933,0.10242139199999656
ranking,RankingControl,5,riplm,1.0,0.03,0.011772258623299087,0.9878481189738824,0.10401487600006476
