suite,task,method,lr,tau,val_regret
ranking,RankingControl,mse,0.01,0.2,0.011890661239168043
ranking,RankingControl,mse,0.03,0.2,0.010088751509172801
ranking,RankingControl,mse,0.1,0.2,0.00972795446012703
ranking,RankingControl,mse,0.3,0.2,0.009736435791236033
ranking,RankingControl,spo+,0.001,0.2,0.27181497082194883
ranking,RankingControl,spo+,0.003,0.2,0.06457848450294709
ranking,RankingControl,spo+,0.01,0.2,0.021141978986358903
ranking,RankingControl,spo+,0.03,0.2,0.009142864533342517
ranking,RankingControl,spo+,0.1,0.2,0.007083005884400157
ranking,RankingControl,plfo,0.001,0.03,0.1800453133780735
ranking,RankingControl,plfo,0.003,0.03,0.12856001760604044
ranking,RankingControl,plfo,0.01,0.03,0.11434407420630058
ranking,RankingControl,plfo,0.03,0.03,0.10534965201928309
ranking,RankingControl,plfo,0.1,0.03,0.0910034643391765
ranking,RankingControl,plfo,0.001,0.05,0.23775598354954008
ranking,RankingControl,plfo,0.003,0.05,0.11262729826549173
ranking,RankingControl,plfo,0.01,0.05,0.10013772854077616
ranking,RankingControl,plfo,0.03,0.05,0.09614207254266524
ranking,RankingControl,plfo,0.1,0.05,0.0844540747381394
ranking,RankingControl,plfo,0.001,0.1,0.3424436432834377
ranking,RankingControl,plfo,0.003,0.1,0.17655218213662816
ranking,RankingControl,plfo,0.01,0.1,0.05698698544787218
ranking,RankingControl,plfo,0.03,0.1,0.05291076839029534
ranking,RankingControl,plfo,0.1,0.1,0.05007943243387821
ranking,RankingControl,plfo,0.001,0.2,0.40174255544119397
ranking,RankingControl,plfo,0.003,0.2,0.2931123920673999
ranking,RankingControl,plfo,0.01,0.2,0.10260418809048291
ranking,RankingControl,plfo,0.03,0.2,0.0328315476686952
ranking,RankingControl,plfo,0.1,0.2,0.02747933944852146
ranking,RankingControl,plfo,0.001,0.5,0.4387587010646997
ranking,RankingControl,plfo,0.003,0.5,0.39127549936221556
ranking,RankingControl,plfo,0.01,0.5,0.2510033750536629
ranking,RankingControl,plfo,0.03,0.5,0.08181450411308988
ranking,RankingControl,plfo,0.1,0.5,0.022795037485862098
ranking,RankingControl,plfo,0.001,1.0,0.44908848627156417
ranking,RankingControl,plfo,0.003,1.0,0.42751628776950085
ranking,RankingControl,plfo,0.01,1.0,0.34780854392272986
ranking,RankingControl,plfo,0.03,1.0,0.18478687239932923
ranking,RankingControl,plfo,0.1,1.0,0.043036063758453556
ranking,RankingControl,riplm,0.01,0.03,0.016430330642690297
ranking,RankingControl,riplm,0.03,0.03,0.01532357743148962
ranking,RankingControl,riplm,0.1,0.03,0.01505319495864324
ranking,RankingControl,riplm,0.3,0.03,0.01506370484925703
ranking,RankingControl,riplm,1.0,0.03,0.014996013406479346
ranking,RankingControl,riplm,0.01,0.05,0.016430330642690297
ranking,RankingControl,riplm,0.03,0.05,0.01532357743148962
ranking,RankingControl,riplm,0.1,0.05,0.01505319495864324
ranking,RankingControl,riplm,0.3,0.05,0.01506370484925703
ranking,RankingControl,riplm,1.0,0.05,0.014996013406479346
ranking,RankingControl,riplm,0.01,0.1,0.016430330642690297
ranking,RankingControl,riplm,0.03,0.1,0.01532357743148962
ranking,RankingControl,riplm,0.1,0.1,0.01505319495864324
ranking,RankingControl,riplm,0.3,0.1,0.01506370484925703
ranking,RankingControl,riplm,1.0,0.1,0.014996013406479346
ranking,RankingControl,riplm,0.01,0.2,0.016430330642690297
ranking,RankingControl,riplm,0.03,0.2,0.01532357743148962
ranking,RankingControl,riplm,0.1,0.2,0.01505319495864324
ranking,RankingControl,riplm,0.3,0.2,0.01506370484925703
ranking,RankingControl,riplm,1.0,0.2,0.014996013406479346
ranking,RankingControl,riplm,0.01,0.5,0.016430330642690297
ranking,RankingControl,riplm,0.03,0.5,0.01532357743148962
ranking,RankingControl,riplm,0.1,0.5,0.01505319495864324
ranking,RankingControl,riplm,0.3,0.5,0.01506370484925703
ranking,RankingControl,riplm,1.0,0.5,0.014996013406479346
ranking,RankingControl,riplm,0.01,1.0,0.016430330642690297
ranking,RankingControl,riplm,0.03,1.0,0.01532357743148962
ranking,RankingControl,riplm,0.1,1.0,0.01505319495864324
ranking,RankingControl,riplm,0.3,1.0,0.01506370484925703
ranking,RankingControl,riplm,1.0,1.0,0.014996013406479346
