task,method,regret_mean,regret_std,opt_acc_mean,opt_acc_std,runtime_mean,runtime_std,n_decisions
Knapsack,mse,0.31213673439129097,0.034105154308780326,0.47074999999999995,0.04438468204234426,0.014829085800010943,0.0022986697820379033,97
Knapsack,plfo,0.419349020442035,0.06146282229726546,0.4225,0.04900573945978165,0.0330991007999728,0.003503929045121652,97
Knapsack,riplm,1.1567441018269862,0.13910314129744109,0.1505,0.0346026552449375,0.030104197799983013,0.0015708926757293544,97
Knapsack,spo+,0.31486735178298797,0.04105796234706351,0.4795,0.04605194078429272,0.021015017599984274,0.0009486291839760121,97
Matching,mse,0.3640551316739351,0.08352456524496671,0.46799999999999997,0.06306990169645109,0.014383529199994883,0.00012093238372567282,24
Matching,plfo,0.43899494130256433,0.047210721658593906,0.43600000000000005,0.03898517346376694,0.023669329399990603,0.0002924286800474319,24
Matching,riplm,0.595022321632268,0.08514100865952923,0.36375,0.040581707701869835,0.023320364800019887,0.0003915465967786196,24
Matching,spo+,0.36231613459844725,0.050901677206972945,0.465,0.052477673824208315,0.01984531559996867,0.0006364987248187784,24
ShortestPath,mse,0.5162024236310652,0.08683185991674126,0.4525,0.02152396919715319,0.01580748439996569,0.0005919156772783991,20
ShortestPath,plfo,0.6166403338557771,0.08699355407596451,0.4135,0.04002343063756529,0.02493169879994639,0.0013895306457731356,20
ShortestPath,riplm,0.8532458506316452,0.15117831347090732,0.361,0.038804397302367684,0.024280721600007382,0.0011671539142399556,20
ShortestPath,spo+,0.5160590323796057,0.06595533860619857,0.458,0.008687275176947019,0.021107408399939232,0.00048541466754881076,20
