suite,task,method,lr,tau,val_regret
structured,ShortestPath,mse,0.001,0.2,0.8256406553299575
structured,ShortestPath,mse,0.003,0.2,0.5852322894964582
structured,ShortestPath,mse,0.01,0.2,0.4944495724814502
structured,ShortestPath,mse,0.03,0.2,0.49887682665726785
structured,ShortestPath,mse,0.1,0.2,0.4844364149831016
structured,ShortestPath,spo+,0.0003,0.2,1.1107765853173646
structured,ShortestPath,spo+,0.001,0.2,0.5463445236360078
structured,ShortestPath,spo+,0.003,0.2,0.4551345462044834
structured,ShortestPath,spo+,0.01,0.2,0.4452993363153455
structured,ShortestPath,spo+,0.03,0.2,0.43617157813302737
structured,ShortestPath,plfo,0.0001,0.05,2.4366155082436696
structured,ShortestPath,plfo,0.0003,0.05,1.479586062875505
structured,ShortestPath,plfo,0.001,0.05,0.8020968038926523
structured,ShortestPath,plfo,0.003,0.05,0.661799071981371
structured,ShortestPath,plfo,0.01,0.05,0.660422489684092
structured,ShortestPath,plfo,0.03,0.05,0.7013764518722104
structured,ShortestPath,plfo,0.0001,0.1,2.1166418719469933
structured,ShortestPath,plfo,0.0003,0.1,1.2067633859573865
structured,ShortestPath,plfo,0.001,0.1,0.6004530184527578
structured,ShortestPath,plfo,0.003,0.1,0.5412796169210939
structured,ShortestPath,plfo,0.01,0.1,0.578277367820363
structured,ShortestPath,plfo,0.03,0.1,0.6963575610324452
structured,ShortestPath,plfo,0.0001,0.2,2.1294793404050476
structured,ShortestPath,plfo,0.0003,0.2,1.1292565084790909
structured,ShortestPath,plfo,0.001,0.2,0.5938136780370461
structured,ShortestPath,plfo,0.003,0.2,0.5314302781872268
structured,ShortestPath,plfo,0.01,0.2,0.5214705060063392
structured,ShortestPath,plfo,0.03,0.2,0.5432199870081785
structured,ShortestPath,plfo,0.0001,0.5,2.1779399742892913
structured,ShortestPath,plfo,0.0003,0.5,1.1730898092317426
structured,ShortestPath,plfo,0.001,0.5,0.6757342346875954
structured,ShortestPath,plfo,0.003,0.5,0.5277832108487096
structured,ShortestPath,plfo,0.01,0.5,0.5068673976394859
structured,ShortestPath,plfo,0.03,0.5,0.4852716608657664
structured,ShortestPath,riplm,1e-05,0.05,3.424446195700233
structured,ShortestPath,riplm,3e-05,0.05,3.1330358206828497
structured,ShortestPath,riplm,0.0001,0.05,2.521349353907861
structured,ShortestPath,riplm,0.0003,0.05,1.4198754413844787
structured,ShortestPath,riplm,0.001,0.05,0.7327142719287187
structured,ShortestPath,riplm,0.003,0.05,0.6868735163366746
structured,ShortestPath,riplm,0.01,0.05,0.7239118833734247
structured,ShortestPath,riplm,1e-05,0.1,3.424446195700233
structured,ShortestPath,riplm,3e-05,0.1,3.146259429162867
structured,ShortestPath,riplm,0.0001,0.1,2.4697874251988816
structured,ShortestPath,riplm,0.0003,0.1,1.3178980877685729
structured,ShortestPath,riplm,0.001,0.1,0.7272142487903855
structured,ShortestPath,riplm,0.003,0.1,0.683323927894044
structured,ShortestPath,riplm,0.01,0.1,0.7131535453593975
structured,ShortestPath,riplm,1e-05,0.2,3.401418733996361
structured,ShortestPath,riplm,3e-05,0.2,3.0951900730823234
structured,ShortestPath,riplm,0.0001,0.2,2.392575102646296
structured,ShortestPath,riplm,0.0003,0.2,1.2259880319012102
structured,ShortestPath,riplm,0.001,0.2,0.730294947970896
structured,ShortestPath,riplm,0.003,0.2,0.690373021505468
structured,ShortestPath,riplm,0.01,0.2,0.7138898066935101
structured,ShortestPath,riplm,1e-05,0.5,3.3880150555324944
structured,ShortestPath,riplm,3e-05,0.5,3.0994803898196257
structured,ShortestPath,riplm,0.0001,0.5,2.260558494709353
structured,ShortestPath,riplm,0.0003,0.5,1.1782139048221856
structured,ShortestPath,riplm,0.001,0.5,0.7470849491343426
structured,ShortestPath,riplm,0.003,0.5,0.7009212494154383
structured,ShortestPath,riplm,0.01,0.5,0.6874207874047972
structured,Matching,mse,0.001,0.2,0.6599858538289645
structured,Matching,mse,0.003,0.2,0.40733586710151265
structured,Matching,mse,0.01,0.2,0.3484336750225726
structured,Matching,mse,0.03,0.2,0.34524505748288603
structured,Matching,mse,0.1,0.2,0.34766024312981936
structured,Matching,spo+,0.0003,0.2,0.9560777168483716
structured,Matching,spo+,0.001,0.2,0.4190532868222464
structured,Matching,spo+,0.003,0.2,0.3852653802303743
structured,Matching,spo+,0.01,0.2,0.36504715310342317
structured,Matching,spo+,0.03,0.2,0.3459798114491452
structured,Matching,plfo,0.0001,0.05,2.080097850573952
structured,Matching,plfo,0.0003,0.05,1.4036176566956493
structured,Matching,plfo,0.001,0.05,0.7643081072065095
structured,Matching,plfo,0.003,0.05,0.5731558572131169
structured,Matching,plfo,0.01,0.05,0.5488402168316584
structured,Matching,plfo,0.03,0.05,0.4813274131720025
structured,Matching,plfo,0.0001,0.1,1.9507056312535767
structured,Matching,plfo,0.0003,0.1,1.1827099952522642
structured,Matching,plfo,0.001,0.1,0.6879676484807306
structured,Matching,plfo,0.003,0.1,0.5005045950344578
structured,Matching,plfo,0.01,0.1,0.46094296412828767
structured,Matching,plfo,0.03,0.1,0.4623848794304836
structured,Matching,plfo,0.0001,0.2,1.9158147404414658
structured,Matching,plfo,0.0003,0.2,1.1636580789809974
structured,Matching,plfo,0.001,0.2,0.5731570137338755
structured,Matching,plfo,0.003,0.2,0.4717223661434899
structured,Matching,plfo,0.01,0.2,0.4563567228055138
structured,Matching,plfo,0.03,0.2,0.4681289256474379
structured,Matching,plfo,0.0001,0.5,1.9130548759148331
structured,Matching,plfo,0.0003,0.5,1.1902224113170279
structured,Matching,plfo,0.001,0.5,0.6408085144566178
structured,Matching,plfo,0.003,0.5,0.524703077680621
structured,Matching,plfo,0.01,0.5,0.4753106794125459
structured,Matching,plfo,0.03,0.5,0.4605541561991578
structured,Matching,riplm,1e-05,0.05,2.8413647862383984
structured,Matching,riplm,3e-05,0.05,2.6706780070520932
structured,Matching,riplm,0.0001,0.05,2.110002217301236
structured,Matching,riplm,0.0003,0.05,1.5539182249723626
structured,Matching,riplm,0.001,0.05,0.9104646532219536
structured,Matching,riplm,0.003,0.05,0.8453386128644308
structured,Matching,riplm,0.01,0.05,0.8125361011048916
structured,Matching,riplm,1e-05,0.1,2.8413647862383984
structured,Matching,riplm,3e-05,0.1,2.6361972291009312
structured,Matching,riplm,0.0001,0.1,2.124766527623299
structured,Matching,riplm,0.0003,0.1,1.4389143021476036
structured,Matching,riplm,0.001,0.1,0.8920695446022342
structured,Matching,riplm,0.003,0.1,0.8135988784220173
structured,Matching,riplm,0.01,0.1,0.7608125134764145
structured,Matching,riplm,1e-05,0.2,2.8413647862383984
structured,Matching,riplm,3e-05,0.2,2.6030008512819993
structured,Matching,riplm,0.0001,0.2,2.0188044829219685
structured,Matching,riplm,0.0003,0.2,1.2966427621033336
structured,Matching,riplm,0.001,0.2,0.7999219148983424
structured,Matching,riplm,0.003,0.2,0.7490008787636796
structured,Matching,riplm,0.01,0.2,0.7322919337037544
structured,Matching,riplm,1e-05,0.5,2.836937510644582
structured,Matching,riplm,3e-05,0.5,2.602307764089994
structured,Matching,riplm,0.0001,0.5,1.9469156609609641
structured,Matching,riplm,0.0003,0.5,1.1034527117335404
structured,Matching,riplm,0.001,0.5,0.645316878413876
structured,Matching,riplm,0.003,0.5,0.5991283021035008
structured,Matching,riplm,0.01,0.5,0.5684513925925393
structured,Knapsack,mse,0.001,0.2,0.7707027428538424
structured,Knapsack,mse,0.003,0.2,0.42692755647291286
structured,Knapsack,mse,0.01,0.2,0.23208947860758591
structured,Knapsack,mse,0.03,0.2,0.22603999881949352
structured,Knapsack,mse,0.1,0.2,0.23932507347988102
structured,Knapsack,spo+,0.0003,0.2,1.6672038591602523
structured,Knapsack,spo+,0.001,0.2,0.6433466419405255
structured,Knapsack,spo+,0.003,0.2,0.2774873099884217
structured,Knapsack,spo+,0.01,0.2,0.21758240991160263
structured,Knapsack,spo+,0.03,0.2,0.23739611141037237
structured,Knapsack,plfo,0.0001,0.05,2.492119177982744
structured,Knapsack,plfo,0.0003,0.05,1.4143167738116482
structured,Knapsack,plfo,0.001,0.05,0.4675839670717464
structured,Knapsack,plfo,0.003,0.05,0.33260732790624076
structured,Knapsack,plfo,0.01,0.05,0.31710263098946817
structured,Knapsack,plfo,0.03,0.05,0.3600686654044419
structured,Knapsack,plfo,0.0001,0.1,2.5189779887222974
structured,Knapsack,plfo,0.0003,0.1,1.3245131444129483
structured,Knapsack,plfo,0.001,0.1,0.5325606861747825
structured,Knapsack,plfo,0.003,0.1,0.37999646711449314
structured,Knapsack,plfo,0.01,0.1,0.313453241105492
structured,Knapsack,plfo,0.03,0.1,0.34331625881471195
structured,Knapsack,plfo,0.0001,0.2,2.601161879166254
structured,Knapsack,plfo,0.0003,0.2,1.3898626056641172
structured,Knapsack,plfo,0.001,0.2,0.642823622459741
structured,Knapsack,plfo,0.003,0.2,0.4294002924767231
structured,Knapsack,plfo,0.01,0.2,0.3559892911785268
structured,Knapsack,plfo,0.03,0.2,0.34470489308869146
structured,Knapsack,plfo,0.0001,0.5,2.6579829157807073
structured,Knapsack,plfo,0.0003,0.5,1.4980727618774148
structured,Knapsack,plfo,0.001,0.5,0.729702433579944
structured,Knapsack,plfo,0.003,0.5,0.5003432785838305
structured,Knapsack,plfo,0.01,0.5,0.4183338430543148
structured,Knapsack,plfo,0.03,0.5,0.3495784332551313
structured,Knapsack,riplm,1e-05,0.05,3.0165176880709565
structured,Knapsack,riplm,3e-05,0.05,2.9850332501190873
structured,Knapsack,riplm,0.0001,0.05,2.7695665524837967
structured,Knapsack,riplm,0.0003,0.05,2.326076047610844
structured,Knapsack,riplm,0.001,0.05,2.0567542814823274
structured,Knapsack,riplm,0.003,0.05,1.8785588232420323
structured,Knapsack,riplm,0.01,0.05,1.5747286457711696
structured,Knapsack,riplm,1e-05,0.1,3.017936002414101
structured,Knapsack,riplm,3e-05,0.1,2.969988885706451
structured,Knapsack,riplm,0.0001,0.1,2.751990463226035
structured,Knapsack,riplm,0.0003,0.1,2.1331114066610777
structured,Knapsack,riplm,0.001,0.1,1.861826160657964
structured,Knapsack,riplm,0.003,0.1,1.6184230418774217
structured,Knapsack,riplm,0.01,0.1,1.3757545454429558
structured,Knapsack,riplm,1e-05,0.2,3.017936002414101
structured,Knapsack,riplm,3e-05,0.2,2.9464974556968424
structured,Knapsack,riplm,0.0001,0.2,2.720823258209465
structured,Knapsack,riplm,0.0003,0.2,1.7762938606694951
structured,Knapsack,riplm,0.001,0.2,1.4401603045028069
structured,Knapsack,riplm,0.003,0.2,1.2716325827703832
structured,Knapsack,riplm,0.01,0.2,1.1900055059254597
structured,Knapsack,riplm,1e-05,0.5,3.0292354443668126
structured,Knapsack,riplm,3e-05,0.5,2.9484340308559185
structured,Knapsack,riplm,0.0001,0.5,2.6773467126288635
structured,Knapsack,riplm,0.0003,0.5,1.513815933051931
structured,Knapsack,riplm,0.001,0.5,1.0141135834468782
structured,Knapsack,riplm,0.003,0.5,0.9211864507084644
structured,Knapsack,riplm,0.01,0.5,0.8602181289640924
